Year,Quarter,TiVA_DVA_ANN,TiVA_DVA_Linear,Time
1995,Q1,24373.2678270652,14929.691817124683,1995-Q1
1995,Q2,9838.078585683488,15440.111925544643,1995-Q2
1995,Q3,8940.149375479401,15693.356455860203,1995-Q3
1995,Q4,19596.21514927194,16684.549801470475,1995-Q4
1996,Q1,20251.61860446104,17152.70557697314,1996-Q1
1996,Q2,19240.121089182896,18506.683871149387,1996-Q2
1996,Q3,15728.98996640867,18624.598799646094,1996-Q3
1996,Q4,19658.996902447383,20595.73875223138,1996-Q4
1997,Q1,13809.90882931382,18941.404377670515,1997-Q1
1997,Q2,19932.267838648964,21323.540431790985,1997-Q2
1997,Q3,20877.79724175032,21613.660670620862,1997-Q3
1997,Q4,30286.447965286887,23027.81451991764,1997-Q4
1998,Q1,20158.033533041795,21160.05552288279,1998-Q1
1998,Q2,23872.350198373213,22591.314984051027,1998-Q2
1998,Q3,22778.006992082344,21169.208268924307,1998-Q3
1998,Q4,21309.148339002655,23196.959224141876,1998-Q4
1999,Q1,30708.81530584949,22157.53199627367,1999-Q1
1999,Q2,25380.21839464132,25315.87375666239,1999-Q2
1999,Q3,21766.380531497198,26430.62938703872,1999-Q3
1999,Q4,24054.062330511977,28005.44086002522,1999-Q4
2000,Q1,26180.9665827354,27994.87841352454,2000-Q1
2000,Q2,31653.050775758373,30175.852250838445,2000-Q2
2000,Q3,32506.118338028864,31272.802971270197,2000-Q3
2000,Q4,31474.51274097736,32371.118364366812,2000-Q4
2001,Q1,30240.254766808524,28650.65394568169,2001-Q1
2001,Q2,29474.099033090122,29800.91749798641,2001-Q2
2001,Q3,27773.775079125615,28775.755283325383,2001-Q3
2001,Q4,29074.785183475768,29335.5852730065,2001-Q4
2002,Q1,26015.53692116079,27490.16874855936,2002-Q1
2002,Q2,33644.33161010994,32300.689337580694,2002-Q2
2002,Q3,31442.860364990862,31850.573928329588,2002-Q3
2002,Q4,32009.325791238403,31470.62598553037,2002-Q4
2003,Q1,28964.093600308006,28206.36264875328,2003-Q1
2003,Q2,30298.19877670546,28720.296771371166,2003-Q2
2003,Q3,27628.937704716373,29301.736404282787,2003-Q3
2003,Q4,30877.371480770165,31540.202175592778,2003-Q4
2004,Q1,28996.219837419798,31592.424586469897,2004-Q1
2004,Q2,34861.477661374694,35757.43882080161,2004-Q2
2004,Q3,34998.91907036382,36244.8846909531,2004-Q3
2004,Q4,42716.039680841684,37977.90190177538,2004-Q4
2005,Q1,34725.109141565394,35297.53378721669,2005-Q1
2005,Q2,43640.70122564043,41321.92704074979,2005-Q2
2005,Q3,40565.74053184152,41023.642024378285,2005-Q3
2005,Q4,43792.8084759527,45081.26014765524,2005-Q4
2006,Q1,49586.34117782105,44343.994173563144,2006-Q1
2006,Q2,50845.229737817914,48388.10005478072,2006-Q2
2006,Q3,44272.31269816633,47629.70713359231,2006-Q3
2006,Q4,44392.08513619471,48734.174638063814,2006-Q4
2007,Q1,38123.04616009365,45621.44309013354,2007-Q1
2007,Q2,45564.568706303304,51830.405465282005,2007-Q2
2007,Q3,51932.397177496794,53452.25968061141,2007-Q3
2007,Q4,71072.97233110626,55788.88376397305,2007-Q4
2008,Q1,47647.35506645684,51656.520357695554,2008-Q1
2008,Q2,61624.175159477825,58839.91527204517,2008-Q2
2008,Q3,56317.19818452339,58134.12201296039,2008-Q3
2008,Q4,50554.99033954197,47513.16835729888,2008-Q4
2009,Q1,55690.857574050315,36938.04590476322,2009-Q1
2009,Q2,43172.809147334745,41079.781808561296,2009-Q2
2009,Q3,35943.361703885304,44825.177538606185,2009-Q3
2009,Q4,39779.95594972962,51743.9737480693,2009-Q4
2010,Q1,41447.63709206196,49163.169682346605,2010-Q1
2010,Q2,53462.08540675343,54478.31447913937,2010-Q2
2010,Q3,56915.05658968607,54445.14628042107,2010-Q3
2010,Q4,65433.56466149854,59171.710558092964,2010-Q4
2011,Q1,58970.54907629115,59490.36166131699,2011-Q1
2011,Q2,63871.72191817494,65765.91218571573,2011-Q2
2011,Q3,64324.70734555741,65049.314414134285,2011-Q3
2011,Q4,70056.5685349765,66917.961738833,2011-Q4
2012,Q1,64367.3097080329,65699.40731916137,2012-Q1
2012,Q2,67775.39166758506,69030.04391668699,2012-Q2
2012,Q3,66015.82294775659,66300.90362510452,2012-Q3
2012,Q4,72427.60067662546,69555.75613904711,2012-Q4
2013,Q1,62115.77286939831,63239.512796790674,2013-Q1
2013,Q2,68629.65348623131,69667.15075875465,2013-Q2
2013,Q3,67600.92186468352,69503.42548301279,2013-Q3
2013,Q4,76338.96427968687,72275.21896144187,2013-Q4
2014,Q1,69446.34833449851,66720.4863358803,2014-Q1
2014,Q2,75985.76913127232,75758.78066459834,2014-Q2
2014,Q3,72787.07135014611,75005.21404178192,2014-Q3
2014,Q4,75582.40493408307,76317.11495773948,2014-Q4
2015,Q1,70620.43111258167,65415.66601783957,2015-Q1
2015,Q2,69127.22013543705,70254.67259985307,2015-Q2
2015,Q3,65050.94811990667,68079.70144356941,2015-Q3
2015,Q4,67089.2131320746,68137.75693873796,2015-Q4
2016,Q1,54852.86703243487,59697.49962234817,2016-Q1
2016,Q2,61982.58520284881,65999.73292493456,2016-Q2
2016,Q3,65863.93144591874,66780.90403505214,2016-Q3
2016,Q4,80925.33506879756,71146.56741766517,2016-Q4
2017,Q1,68329.45411711073,67354.91275146724,2017-Q1
2017,Q2,75228.71942356814,73319.94181408607,2017-Q2
2017,Q3,72964.25612322685,72449.44279497628,2017-Q3
2017,Q4,74936.53908609429,78334.6766394704,2017-Q4
2018,Q1,81596.71263114677,73590.86639780164,2018-Q1
2018,Q2,78685.38528513606,79542.36113420999,2018-Q2
2018,Q3,73581.05468488407,79651.18452857017,2018-Q3
2018,Q4,82194.97239883311,83273.70293941819,2018-Q4
2019,Q1,73851.74809049159,77561.88652200723,2019-Q1
2019,Q2,82340.50660335225,86529.91315900555,2019-Q2
2019,Q3,85313.70385132266,84529.49980211983,2019-Q3
2019,Q4,91845.9164548335,84730.58851686736,2019-Q4
2020,Q1,87986.84787131776,77083.17471601136,2020-Q1
2020,Q2,55088.221701648545,50752.770140277564,2020-Q2
2020,Q3,70270.06862753861,76903.24070316933,2020-Q3
2020,Q4,77262.39304949509,85868.33944054178,2020-Q4
2021,Q1,87200.94944051908,77548.05824860757,2021-Q1
2021,Q2,87286.49495500959,86397.67645302879,2021-Q2
2021,Q3,80219.72390376832,85120.60966326557,2021-Q3
2021,Q4,88051.58170070301,93692.40263509804,2021-Q4
2022,Q1,88872.12083664483,90835.98359789056,2022-Q1
2022,Q2,99224.96343298689,102278.25272749193,2022-Q2
