Year,TiVA_GrossExports,TiVA_DVA
1995,62747.71,62747.71
1996,74879.727,74879.727
1997,84906.42,84906.42
1998,88117.538,88117.538
1999,101909.476,101909.476
2000,121814.652,121814.652
2001,116562.912,116562.912
2002,123112.058,123112.058
2003,117768.598,117768.598
2004,141572.65,141572.65
2005,162724.363,162724.363
2006,189095.976,189095.976
2007,206692.992,206692.992
2008,216143.726,216143.726
2009,174586.979,174586.979
2010,217258.341,217258.341
2011,257223.55,257223.55
2012,270586.111,270586.111
2013,274685.308,274685.308
2014,293801.596,293801.596
2015,271887.797,271887.797
2016,263624.704,263624.704
2017,291458.974,291458.974
2018,316058.115,316058.115
2019,333351.888,333351.888
2020,290607.525,290607.525
2021,342758.747,342758.747
2022,396843.655,396843.655
