Month,TotalExports,Inter_goods_NO,US_IndustrialProduction,GSCPI
1993-01,3491025.0,3149873.0,64.5978,
1993-02,3824112.0,3456758.0,64.9089,
1993-03,4454157.0,3968973.0,64.8522,
1993-04,4131085.0,3548665.0,65.0301,
1993-05,4125457.0,3603326.0,64.784,
1993-06,4789999.0,4153027.0,64.9301,
1993-07,4151908.0,3836989.0,65.1052,
1993-08,4219402.0,3668836.0,65.0267,
1993-09,4446892.0,3856989.0,65.3717,
1993-10,4923708.0,3951342.0,65.8509,
1993-11,4649174.0,3963067.0,66.1518,
1993-12,4679050.0,3985213.0,66.5436,
1994-01,4089070.0,3874797.0,66.7351,
1994-02,4531315.0,4250866.0,66.774,
1994-03,5155533.0,4475123.0,67.4552,
1994-04,4655097.0,4119774.0,67.8541,
1994-05,5096665.0,4594211.0,68.1663,
1994-06,5315984.0,4824048.0,68.6265,
1994-07,4757600.0,4362903.0,68.7178,
1994-08,5271435.0,4856810.0,69.1785,
1994-09,5035115.0,4564415.0,69.3961,
1994-10,5555650.0,4948665.0,69.9544,
1994-11,6108348.0,5193890.0,70.4326,
1994-12,5310387.0,4630455.0,71.1523,
1995-01,5932391.0,4742549.0,71.2734,
1995-02,6066195.0,4290698.0,71.193,
1995-03,6788153.0,4812398.0,71.3113,
1995-04,5864530.0,3875088.0,71.1882,
1995-05,7027839.0,4701759.0,71.5378,
1995-06,6739092.0,4694333.0,71.7749,
1995-07,6048581.0,4154427.0,71.4748,
1995-08,7099164.0,5051190.0,72.4223,
1995-09,6939424.0,4868888.0,72.7144,
1995-10,7346393.0,5301891.0,72.5866,
1995-11,6909189.0,5072197.0,72.7779,
1995-12,6780603.0,4846556.0,73.0305,
1996-01,7142790.0,5058500.0,72.6125,
1996-02,7112474.0,5228223.0,73.6752,
1996-03,7615113.0,5374914.0,73.585,
1996-04,7915540.0,5559051.0,74.3172,
1996-05,8075420.0,5868663.0,74.8726,
1996-06,7615922.0,5395554.0,75.4433,
1996-07,8003292.0,6014158.0,75.4549,
1996-08,7857667.0,5873367.0,75.8411,
1996-09,8386121.0,6040137.0,76.3158,
1996-10,9299120.0,7021552.0,76.3384,
1996-11,8467329.0,6328797.0,77.0397,
1996-12,8508952.0,5844421.0,77.5333,
1997-01,8181992.0,5896210.0,77.6562,
1997-02,8068267.0,5989839.0,78.5833,
1997-03,8848132.0,6406543.0,79.082,
1997-04,9220360.0,6710887.0,79.1747,
1997-05,8835675.0,6509299.0,79.6133,
1997-06,9384390.0,6910115.0,79.9792,
1997-07,9361095.0,7136887.0,80.6624,
1997-08,8950302.0,6880127.0,81.4694,
1997-09,9864982.0,7539922.0,82.2156,
1997-10,10289043.0,7746854.0,82.9446,
1997-11,9559202.0,7283160.0,83.5978,
1997-12,9868058.0,7491275.0,83.9538,
1998-01,8547674.0,6718207.0,84.3218,-1.1015301642448057
1998-02,8908950.0,7092674.0,84.4583,-0.43617031542893936
1998-03,10649545.0,8364512.0,84.488,-0.05006568845625184
1998-04,9792844.0,7549688.0,84.7779,-0.11184325560720146
1998-05,9772383.0,7575843.0,85.3367,-0.42584751383021113
1998-06,10306289.0,8155147.0,84.8248,-0.7466700120322463
1998-07,9126235.0,7303243.0,84.4986,-0.9269443360850029
1998-08,9236794.0,7658234.0,86.248,-0.9065279156950766
1998-09,10223556.0,8306536.0,86.2021,-0.9146488425833204
1998-10,10338716.0,8329625.0,86.7914,-0.6827023004243739
1998-11,10266337.0,8478135.0,86.7256,-0.8656641925020707
1998-12,10369971.0,8240149.0,87.1185,-0.6147683195754039
1999-01,8663443.0,6975987.0,87.4949,-0.27904903328179725
1999-02,9613236.0,7500360.0,88.027,0.002026630561592402
1999-03,11663694.0,8978551.0,88.2267,-0.2774412746909577
1999-04,10533432.0,8215130.0,88.4295,-0.2130164009113138
1999-05,11068961.0,8580872.0,88.9886,-0.3544127553617587
1999-06,12038721.0,9205254.0,88.9188,-0.3676366849958858
1999-07,11050320.0,8318612.0,89.4333,-0.6203700146401392
1999-08,12285014.0,9681270.0,89.7924,-0.45160994521823755
1999-09,11957664.0,9011002.0,89.4299,-0.3906346620127848
1999-10,12329161.0,9463876.0,90.523,-0.11974469955125604
1999-11,12994306.0,10261365.0,90.9618,-0.1667570858383597
1999-12,12163864.0,9337321.0,91.6634,-0.20608595344690947
2000-01,11252743.0,8635824.0,91.538,-0.6171356170058285
2000-02,13189566.0,10098342.0,91.8239,-0.42300311601790164
2000-03,13575435.0,10262341.0,92.1504,-0.28114141588345115
2000-04,12327403.0,9419990.0,92.6989,0.12705524459718315
2000-05,14654687.0,11418279.0,92.9499,0.28151228724259125
2000-06,14045054.0,10591181.0,92.9862,0.0435167129662301
2000-07,13411361.0,10300190.0,92.8048,-0.015869874981165735
2000-08,15261802.0,12028595.0,92.5521,0.08743640583890946
2000-09,14110043.0,10739234.0,92.9792,0.04503380428508711
2000-10,16131582.0,12350865.0,92.6179,-0.526568382816282
2000-11,14525529.0,11077731.0,92.6438,-0.7417826214017357
2000-12,13635532.0,10567373.0,92.3415,-0.9268678987646702
2001-01,12853053.0,10058288.0,91.902,-0.9232320327873631
2001-02,12566162.0,9471485.0,91.3034,-0.776442219724513
2001-03,14311048.0,10627378.0,91.1162,-0.5831561215068664
2001-04,13273001.0,10314222.0,90.7891,-1.0020432056705337
2001-05,14051740.0,10581006.0,90.3555,-1.119861806966222
2001-06,13423356.0,9919290.0,89.8784,-0.6946482225850958
2001-07,12947584.0,9835685.0,89.3028,-0.8349659535430118
2001-08,13502467.0,10161878.0,89.2003,-0.7877880228081635
2001-09,12679097.0,9541969.0,88.7485,-0.6745244094834457
2001-10,14484934.0,11099464.0,88.5052,-1.2183865595312449
2001-11,12511301.0,9888332.0,87.97,-1.4433891949854651
