Quarter,ValueAdded
1993Q1,9620301.2
1993Q2,9782951.2
1993Q3,9686868.3
1993Q4,9993432.2
1994Q1,9934138.8
1994Q2,10343867.9
1994Q3,10172517.5
1994Q4,10519599.8
1995Q1,9780412.6
1995Q2,9431797.1
1995Q3,9428043.3
1995Q4,9800063.1
1996Q1,10019722.4
1996Q2,10175441.3
1996Q3,10182953.4
1996Q4,10676969.6
1997Q1,10447635.0
1997Q2,11025960.2
1997Q3,10964903.2
1997Q4,11418644.8
1998Q1,11371932.9
1998Q2,11575711.1
1998Q3,11517967.9
1998Q4,11672536.0
1999Q1,11634748.1
1999Q2,11836674.8
1999Q3,11846215.4
1999Q4,12063213.0
2000Q1,12242138.2
2000Q2,12510577.7
2000Q3,12500283.6
2000Q4,12525010.6
2001Q1,12292304.5
2001Q2,12467310.8
2001Q3,12365668.1
2001Q4,12426641.1
2002Q1,11939521.3
2002Q2,12608955.9
2002Q3,12388462.0
2002Q4,12581752.8
2003Q1,12324822.6
2003Q2,12676242.8
2003Q3,12446847.8
2003Q4,12788507.5
2004Q1,12749886.7
2004Q2,13200847.0
2004Q3,12907983.4
2004Q4,13344031.7
2005Q1,12837091.9
2005Q2,13554426.4
2005Q3,13240499.1
2005Q4,13758870.1
2006Q1,13550925.7
2006Q2,14110843.7
2006Q3,13852130.1
2006Q4,14211635.5
2007Q1,13824745.5
2007Q2,14391970.2
2007Q3,14183551.2
2007Q4,14617590.1
2008Q1,13979664.3
2008Q2,14755518.7
2008Q3,14359909.0
2008Q4,14515934.6
2009Q1,13207755.3
2009Q2,13465128.3
2009Q3,13647522.9
2009Q4,14273781.4
2010Q1,13807172.8
2010Q2,14399756.1
2010Q3,14317536.5
2010Q4,14885137.3
2011Q1,14312972.5
2011Q2,14796178.4
2011Q3,14901209.1
2011Q4,15492826.3
2012Q1,15010361.8
2012Q2,15403705.1
2012Q3,15318181.6
2012Q4,15991721.5
2013Q1,15113186.3
2013Q2,15727773.9
2013Q3,15542304.4
2013Q4,16187214.7
2014Q1,15517902.5
2014Q2,16076640.5
2014Q3,15973465.9
2014Q4,16700622.3
2015Q1,16042687.9
2015Q2,16560084.3
2015Q3,16608083.1
2015Q4,17106798.8
2016Q1,16447553.4
2016Q2,17027474.0
2016Q3,16849926.7
2016Q4,17605247.1
2017Q1,16999059.4
2017Q2,17296447.8
2017Q3,17102953.5
2017Q4,17920776.7
2018Q1,17237838.9
2018Q2,17859692.7
2018Q3,17579221.0
2018Q4,18128305.9
2019Q1,17439475.2
2019Q2,17663628.0
2019Q3,17551043.7
2019Q4,18010090.1
2020Q1,17306684.0
2020Q2,14409970.7
2020Q3,16142129.9
2020Q4,17337542.9
2021Q1,16716778.5
2021Q2,17227022.6
2021Q3,16784008.5
2021Q4,17446088.2
2022Q1,16992023.7
2022Q2,17592074.4
2022Q3,17483555.9
2022Q4,18053802.0
2023Q1,17617928.0
