Month,NEER (Nominal - Broad),REER (Real - Broad)
1994-01,641.73,154.64
1994-02,640.1,153.79
1994-03,606.3,145.27
1994-04,600.5,143.62
1994-05,607.8,145.2
1994-06,600.06,142.97
1994-07,590.82,140.95
1994-08,594.57,141.83
1994-09,589.07,141.05
1994-10,584.17,140.41
1994-11,581.39,140.23
1994-12,505.85,122.98
1995-01,355.88,89.35
1995-02,352.68,91.93
1995-03,292.74,80.53
1995-04,315.94,93.45
1995-05,329.91,101.4
1995-06,316.03,100.0
1995-07,322.1,103.99
1995-08,320.82,105.02
1995-09,316.89,105.56
1995-10,295.94,100.36
1995-11,259.78,90.27
1995-12,260.59,93.49
1996-01,269.33,99.57
1996-02,267.45,100.81
1996-03,265.8,101.92
1996-04,270.48,106.19
1996-05,271.23,108.18
1996-06,267.24,108.26
1996-07,264.94,108.72
1996-08,268.39,111.34
1996-09,267.83,112.52
1996-10,261.85,111.08
1996-11,255.47,109.84
1996-12,257.44,114.16
1997-01,260.2,117.98
1997-02,262.89,120.8
1997-03,258.13,119.86
1997-04,260.62,122.0
1997-05,260.08,122.85
1997-06,258.09,122.82
1997-07,261.72,125.53
1997-08,266.37,128.63
1997-09,266.8,130.05
1997-10,264.44,129.66
1997-11,251.8,124.92
1997-12,259.9,130.8
1998-01,259.23,132.96
1998-02,249.72,130.0
1998-03,247.28,129.97
1998-04,249.3,131.97
1998-05,247.23,131.67
1998-06,239.08,128.71
1998-07,239.84,130.3
1998-08,228.54,125.21
1998-09,208.5,115.8
1998-10,207.33,116.51
1998-11,210.97,120.63
1998-12,212.33,124.45
1999-01,206.57,123.88
1999-02,211.86,128.57
1999-03,218.91,133.76
1999-04,225.77,138.37
1999-05,227.03,139.98
1999-06,224.21,139.19
1999-07,227.7,142.01
1999-08,226.64,141.77
1999-09,227.46,143.01
1999-10,221.71,140.01
1999-11,225.6,143.72
1999-12,225.52,145.05
2000-01,223.55,145.34
2000-02,226.42,147.71
2000-03,229.71,149.79
2000-04,227.73,149.24
2000-05,226.63,148.92
2000-06,218.02,143.51
2000-07,227.69,150.18
2000-08,232.4,154.03
2000-09,231.58,153.79
2000-10,228.06,152.27
2000-11,229.31,154.26
2000-12,229.86,156.29
2001-01,222.05,151.12
2001-02,223.87,151.79
2001-03,227.89,155.12
2001-04,235.56,160.45
2001-05,240.73,163.69
2001-06,242.75,165.26
2001-07,241.37,164.28
2001-08,240.56,164.65
2001-09,233.22,160.49
2001-10,235.41,163.08
2001-11,239.18,166.64
2001-12,240.83,168.43
2002-01,241.81,170.26
2002-02,244.82,171.6
2002-03,245.12,171.98
2002-04,242.23,169.98
2002-05,231.88,162.97
2002-06,224.61,158.58
2002-07,223.17,157.91
2002-08,222.91,157.87
2002-09,218.19,155.1
2002-10,218.56,155.78
2002-11,215.22,154.53
2002-12,214.17,154.52
2003-01,204.68,147.59
2003-02,198.55,142.65
2003-03,198.45,142.78
2003-04,204.05,147.2
