Time,TiVA_DVA_ANN,TiVA_DVA_Yearly_Avg
1995-Q1,24095.78022523048,
1995-Q2,9778.034090910896,15686.9275
1995-Q3,8962.578704572488,
1995-Q4,19911.317916786138,
1996-Q1,19336.393313445253,
1996-Q2,18981.536744596026,18719.93175
1996-Q3,16028.69661302163,
1996-Q4,20533.099891437116,
1997-Q1,18509.118151006314,
1997-Q2,24434.690237081675,21226.605
1997-Q3,20623.86247396242,
1997-Q4,21338.751012949586,
1998-Q1,23344.325918329407,
1998-Q2,20662.708641681067,22029.3845
1998-Q3,19573.89804536981,
1998-Q4,24536.60645711972,
1999-Q1,20086.1836576197,
1999-Q2,25406.838147708575,25477.369
1999-Q3,27228.345658966195,
1999-Q4,29188.109098205525,
2000-Q1,30422.967238518162,
2000-Q2,30993.20744691061,30453.663
2000-Q3,29972.052294345936,
2000-Q4,30426.42145772528,
2001-Q1,27341.25227310624,
2001-Q2,29782.651701589875,29140.728
2001-Q3,29367.58088991641,
2001-Q4,30071.429197887475,
2002-Q1,27292.9190940982,
2002-Q2,33455.27806674641,30778.0145
2002-Q3,30689.059682479172,
2002-Q4,31674.797844176217,
2003-Q1,28248.648687323013,
2003-Q2,30580.67945271194,29442.1495
2003-Q3,28109.11946507823,
2003-Q4,30830.15395738682,
2004-Q1,34009.51781828041,
2004-Q2,37796.52611806011,35393.1625
2004-Q3,33899.57011186853,
2004-Q4,35867.042201790944,
2005-Q1,34519.90308862016,
2005-Q2,40241.745913909,40681.09075
2005-Q3,39096.44377174725,
2005-Q4,48866.2666007236,
2006-Q1,38373.052609376056,
2006-Q2,48018.55385609684,47273.994
2006-Q3,48565.1254746069,
2006-Q4,54139.2368099202,
2007-Q1,53607.72385820151,
2007-Q2,57674.51140461181,51673.248
2007-Q3,50010.54310411679,
2007-Q4,45400.20600806988,
2008-Q1,56340.73843230618,
2008-Q2,52038.96661875441,54035.9315
2008-Q3,47777.072403043865,
2008-Q4,59986.94129589554,
2009-Q1,30771.815009675345,
2009-Q2,39823.4703472217,43646.74475
2009-Q3,46871.568627589935,
2009-Q4,57120.130390513026,
2010-Q1,48584.408392073696,
2010-Q2,55184.179606492755,54314.58525
2010-Q3,54149.21272239107,
2010-Q4,59340.54302904249,
2011-Q1,58945.857422102956,
2011-Q2,63405.20967708361,64305.8875
2011-Q3,64077.53031327218,
2011-Q4,70794.94946254128,
2012-Q1,62904.65747171453,
2012-Q2,67548.8388903784,67646.52775
2012-Q3,66627.21047146941,
2012-Q4,73505.41816643765,
2013-Q1,65395.3192242097,
2013-Q2,70827.33795569325,68671.327
2013-Q3,67058.37236265691,
2013-Q4,71404.28295744013,
2014-Q1,70054.16687230281,
2014-Q2,73821.42030436256,73450.399
2014-Q3,71355.17417607135,
2014-Q4,78570.83239726326,
2015-Q1,65579.74875061514,
2015-Q2,69805.1800505582,67971.94925
2015-Q3,68001.3835497084,
2015-Q4,68501.50014911826,
2016-Q1,71997.75592934848,
2016-Q2,70425.85520960913,65906.176
2016-Q3,61595.16999100166,
2016-Q4,59605.937620040735,
2017-Q1,61610.18600764285,
2017-Q2,63057.17057466039,72864.7435
2017-Q3,70051.87807848919,
2017-Q4,96739.73408920757,
2018-Q1,66666.42591051957,
2018-Q2,82313.2295136089,79014.52875
2018-Q3,82790.21735781532,
2018-Q4,84288.25221805622,
2019-Q1,87454.05271288833,
2019-Q2,81424.41247210802,83337.972
2019-Q3,78116.85529364677,
2019-Q4,86356.55452135687,
2020-Q1,76065.11233735719,
2020-Q2,52687.08374392201,72651.88125
2020-Q3,73644.33589064334,
2020-Q4,88210.99927807745,
2021-Q1,80908.01915521488,
2021-Q2,86617.19795275356,85689.68675
2021-Q3,82956.346385507,
2021-Q4,92277.18650652458,
2022-Q1,90130.00081184745,
2022-Q2,99453.90603406104,99210.91375
2022-Q3,99766.683701819,
2022-Q4,107493.06570227252,
