Time,TiVA_DVA_ANN,TiVA_DVA_Linear
1995-Q1,24095.78022523048,37218.08703752287
1995-Q2,9778.034090910896,2642.55350644861
1995-Q3,8962.578704572488,7.026280377169204
1995-Q4,19911.317916786138,22880.043175651354
1996-Q1,19336.393313445253,25571.444596063026
1996-Q2,18981.536744596026,20285.165398894882
1996-Q3,16028.69661302163,12938.365837556219
1996-Q4,20533.099891437116,16084.751167485876
1997-Q1,18509.118151006314,13138.577724881477
1997-Q2,24434.690237081675,23596.618910430203
1997-Q3,20623.86247396242,21346.134017833087
1997-Q4,21338.751012949586,26825.08934685523
1998-Q1,23344.325918329407,22397.793167519547
1998-Q2,20662.708641681067,22859.10880598104
1998-Q3,19573.89804536981,20684.66871986115
1998-Q4,24536.60645711972,22175.967306638264
1999-Q1,20086.1836576197,22433.760192607133
1999-Q2,25406.838147708575,25710.768578405794
1999-Q3,27228.345658966195,25794.837165344034
1999-Q4,29188.109098205525,27970.11006364303
2000-Q1,30422.967238518162,29276.458825175137
2000-Q2,30993.20744691061,31602.62705959556
2000-Q3,29972.052294345936,30651.276959030525
2000-Q4,30426.42145772528,30284.289156198774
2001-Q1,27341.25227310624,27086.32105850872
2001-Q2,29782.651701589875,29520.562849402202
2001-Q3,29367.58088991641,29021.601675557184
2001-Q4,30071.429197887475,30934.426416531885
2002-Q1,27292.9190940982,25286.142026008434
2002-Q2,33455.27806674641,34262.89238913208
2002-Q3,30689.059682479172,30858.96089893856
2002-Q4,31674.797844176217,32704.062685920922
2003-Q1,28248.648687323013,27602.429196644774
2003-Q2,30580.67945271194,31247.187052901576
2003-Q3,28109.11946507823,27636.330819230978
2003-Q4,30830.15395738682,31282.650931222674
2004-Q1,34009.51781828041,31036.480774408024
2004-Q2,37796.52611806011,37001.581445461845
2004-Q3,33899.57011186853,33841.7925074868
2004-Q4,35867.042201790944,39692.79527264333
2005-Q1,34519.90308862016,33302.113106366
2005-Q2,40241.745913909,43404.535321379226
2005-Q3,39096.44377174725,39682.7855166504
2005-Q4,48866.2666007236,46334.92905560439
2006-Q1,38373.052609376056,42546.932834463696
2006-Q2,48018.55385609684,49605.81814142035
2006-Q3,48565.1254746069,45936.49890552739
2006-Q4,54139.2368099202,51006.72611858855
2007-Q1,53607.72385820151,45768.211375376406
2007-Q2,57674.51140461181,53442.7523918665
2007-Q3,50010.54310411679,50729.43476645696
2007-Q4,45400.20600806988,56752.59346630014
2008-Q1,56340.73843230618,47881.636892470735
2008-Q2,52038.96661875441,58822.28255995062
2008-Q3,47777.072403043865,53678.502381374376
2008-Q4,59986.94129589554,55761.30416620427
2009-Q1,30771.815009675345,39204.3377447509
2009-Q2,39823.4703472217,42020.392601845844
2009-Q3,46871.568627589935,43031.68263643671
2009-Q4,57120.130390513026,50330.56601696653
2010-Q1,48584.408392073696,45771.29567260128
2010-Q2,55184.179606492755,54155.00107397922
2010-Q3,54149.21272239107,54176.922463922514
2010-Q4,59340.54302904249,63155.12178949697
2011-Q1,58945.857422102956,56439.43199121568
2011-Q2,63405.20967708361,63785.01473658168
2011-Q3,64077.53031327218,64869.20865439719
2011-Q4,70794.94946254128,72129.89461780542
2012-Q1,62904.65747171453,63614.151505758724
2012-Q2,67548.8388903784,67583.5466930382
2012-Q3,66627.21047146941,65629.78982204673
2012-Q4,73505.41816643765,73758.62297915631
2013-Q1,65395.3192242097,61551.18117202245
2013-Q2,70827.33795569325,69496.50665579324
2013-Q3,67058.37236265691,67276.61819895952
2013-Q4,71404.28295744013,76361.00197322479
2014-Q1,70054.16687230281,68163.299183267
2014-Q2,73821.42030436256,75080.21962742685
2014-Q3,71355.17417607135,72045.58329498584
2014-Q4,78570.83239726326,78512.49389432033
2015-Q1,65579.74875061514,66389.79401665751
2015-Q2,69805.1800505582,69319.49004392966
2015-Q3,68001.3835497084,66505.24538513871
2015-Q4,68501.50014911826,69673.2675542741
2016-Q1,71997.75592934848,61176.85974317239
2016-Q2,70425.85520960913,66065.0686565092
2016-Q3,61595.16999100166,64002.120931683734
2016-Q4,59605.937620040735,72380.65466863471
2017-Q1,61610.18600764285,67987.92463626819
2017-Q2,63057.17057466039,71975.80591521603
2017-Q3,70051.87807848919,71178.35847588106
2017-Q4,96739.73408920757,80316.8849726347
2018-Q1,66666.42591051957,73148.59879405811
2018-Q2,82313.2295136089,80208.29065719355
2018-Q3,82790.21735781532,77696.03492025445
2018-Q4,84288.25221805622,85005.19062849387
2019-Q1,87454.05271288833,79007.2097115701
2019-Q2,81424.41247210802,83024.46544106428
2019-Q3,78116.85529364677,82543.11156149926
2019-Q4,86356.55452135687,88777.10128586636
2020-Q1,76065.11233735719,81364.64873850491
2020-Q2,52687.08374392201,52911.8853100373
2020-Q3,73644.33589064334,70679.29502774384
2020-Q4,88210.99927807745,85651.69592371398
2021-Q1,80908.01915521488,79447.92320314929
2021-Q2,86617.19795275356,86924.35482715318
2021-Q3,82956.346385507,82911.61474006873
2021-Q4,92277.18650652458,93474.85422962878
2022-Q1,90130.00081184745,89537.2235983526
2022-Q2,99453.90603406104,99523.3648837161
2022-Q3,99766.683701819,99307.32209287284
2022-Q4,107493.06570227252,108475.74442505851
