Horizon,IRF_Appreciation,Appreciation_Lower,Appreciation_Upper,IRF_Depreciation,Depreciation_Lower,Depreciation_Upper,LR_Appreciation,LR_Depreciation
0,0.0,0.0,0.0,0.0,0.0,0.0,1.199350471995343,-0.42691489844895836
1,1.3508331774754174,0.9027751902801964,2.0295579434997717,-0.48083593765879706,-0.8797046718190641,-0.16799617413965112,1.199350471995343,-0.42691489844895836
2,1.576869508647574,1.0392314408568275,2.216984374889913,-0.5612947189919911,-0.9596261137924527,-0.20297506772625212,1.199350471995343,-0.42691489844895836
3,1.686540301801208,1.078345960408537,2.294956859031131,-0.6003325954219778,-0.9896489851788179,-0.21759453211377325,1.199350471995343,-0.42691489844895836
4,1.248414216310389,0.6135940921317621,1.6705557716525359,-0.4443793876961557,-0.712470883960814,-0.1318940093005769,1.199350471995343,-0.42691489844895836
5,1.1025407095617301,0.5644139820595593,1.531204893389919,-0.392454971294009,-0.6734148372853095,-0.1159567967282025,1.199350471995343,-0.42691489844895836
6,1.0167922274224557,0.5339724566561546,1.4629681996547341,-0.3619323630994772,-0.6383101948373721,-0.10757143722548995,1.199350471995343,-0.42691489844895836
7,1.1466372804912335,0.7733398799729541,1.6074607279146649,-0.40815136991967216,-0.7178955141258541,-0.1426833772837154,1.199350471995343,-0.42691489844895836
8,1.2143958766641232,0.8408537473917759,1.6487329843703933,-0.432270386737223,-0.7326207799785728,-0.16162886832641302,1.199350471995343,-0.42691489844895836
9,1.2623797033384034,0.8494339898726921,1.7132920106830438,-0.44935047380948817,-0.7503326433037265,-0.16711046959053194,1.199350471995343,-0.42691489844895836
10,1.2289795906312375,0.76739348656948,1.6052085961088365,-0.4374615338728232,-0.7228542860460305,-0.14750858550619877,1.199350471995343,-0.42691489844895836
11,1.2024426420815961,0.7403746874619613,1.5761674142948385,-0.4280155721128987,-0.7047520146463607,-0.14612245359983067,1.199350471995343,-0.42691489844895836
12,1.1795838198575115,0.7278081074414817,1.5517092368354466,-0.41987885811951325,-0.6891120154421269,-0.1419126518696827,1.199350471995343,-0.42691489844895836
13,1.185931308168921,0.7851754072099392,1.574606504802671,-0.42213827885694205,-0.7066177603910888,-0.14396960505901166,1.199350471995343,-0.42691489844895836
14,1.1949812485376148,0.8083657975072113,1.5791386949902095,-0.425359651144429,-0.7066402936463307,-0.14900052219356202,1.199350471995343,-0.42691489844895836
15,1.204761155355419,0.8192394589033837,1.5889222650226071,-0.42884085870089655,-0.7151656861135611,-0.1513830493905323,1.199350471995343,-0.42691489844895836
16,1.2046775302603514,0.795296878584749,1.5813026755979716,-0.4288110919231262,-0.7107587527515534,-0.14701973840866128,1.199350471995343,-0.42691489844895836
17,1.202044983275847,0.7976208243837033,1.584081256597348,-0.4278740234391476,-0.7038544645470884,-0.151836789927249,1.199350471995343,-0.42691489844895836
18,1.1982081335407766,0.7816797883282999,1.574303492252924,-0.42650827726798335,-0.7067406534267768,-0.1488816329451271,1.199350471995343,-0.42691489844895836
19,1.1974550930626962,0.7930302407808646,1.5762587143735263,-0.42624022868107386,-0.710557322216045,-0.1489589152263569,1.199350471995343,-0.42691489844895836
20,1.1980380396859602,0.8021906672244475,1.5734125728183936,-0.4264477314955414,-0.7105593235192328,-0.14890858136120214,1.199350471995343,-0.42691489844895836
